adolescent_girl,anganwadi_centers,anganwadi_helpers,anganwadi_workers,district_id,districts,eligible_beneficiaries,month,project,sector,state_id,states_uts,year
,55700.0,,55248,0,15,2773474,3,260,2229,34,0,2023
,55618.0,,55185,0,26,2345604,1,265,2276,34,0,2024
47723.0,55745.0,46613.0,53913,0,26,3030425,2,259,2222,34,0,2025
,55610.0,,53865,0,26,3217469,6,259,2254,34,0,2024
,55639.0,,55230,0,15,2725217,4,258,2226,34,0,2023
,55619.0,,55096,0,26,2379527,10,310,2327,34,0,2023
,55614.0,,55114,0,26,2450648,8,286,2236,34,0,2023
,55614.0,,55097,0,26,2418039,9,310,2294,34,0,2023
,55652.0,,55186,0,26,2395168,11,310,2334,34,0,2023
,55614.0,,55205,0,15,2654322,5,258,2231,34,0,2023
,55610.0,,53882,0,26,3150631,7,259,2208,34,0,2024
45805.0,55746.0,46613.0,53925,0,26,3009125,3,259,2222,34,0,2025
,55615.0,,55173,0,26,2577291,6,258,2233,34,0,2023
,55610.0,,53890,0,26,3192494,4,270,2306,34,0,2024
,55612.0,,53890,0,26,3143263,8,259,2223,34,0,2024
,55651.0,,55188,0,26,2392745,12,310,2338,34,0,2023
,55610.0,,53933,0,26,3130616,9,259,2227,34,0,2024
48334.0,55746.0,46730.0,53958,0,26,3053469,1,259,2219,34,0,2025
,55610.0,,53859,0,26,3249576,5,270,2311,34,0,2024
,55615.0,,55178,0,26,2502774,7,258,2235,34,0,2023
,55610.0,,53944,0,26,3109818,10,259,2233,34,0,2024
,55610.0,,53946,0,26,3052245,2,270,2298,34,0,2024
,55610.0,,53884,0,26,3093142,3,270,2302,34,0,2024
,55609.0,47007.0,53945,0,26,3105077,11,259,2235,34,0,2024
,35692.0,24896.0,33283,0,33,1942783,12,149,1429,20,0,2024
,35693.0,,34488,0,33,2193990,2,149,1430,20,0,2023
,35693.0,,34434,0,33,2178375,3,149,1430,20,0,2023
,35700.0,,34454,0,33,2204191,1,149,1433,20,0,2024
22019.0,35690.0,24600.0,33231,0,33,2153017,2,149,1429,20,0,2025
,35697.0,,34061,0,33,2052174,6,149,1433,20,0,2024
,35664.0,,34431,0,33,2158380,4,149,1430,20,0,2023
,35698.0,,34421,0,33,2222641,10,149,1433,20,0,2023
,35693.0,,34419,0,33,2235848,8,149,1431,20,0,2023
,35693.0,,34427,0,33,2223325,9,149,1431,20,0,2023
,35700.0,,34471,0,33,2228359,11,149,1433,20,0,2023
,35693.0,,34447,0,33,2182936,5,149,1431,20,0,2023
,35697.0,,34056,0,33,1992566,7,149,1433,20,0,2024
21622.0,35700.0,24013.0,33051,0,33,2136130,3,149,1429,20,0,2025
,35693.0,,34437,0,33,2173789,6,149,1431,20,0,2023
,35697.0,,34181,0,33,2130778,4,149,1433,20,0,2024
,35697.0,,33955,0,33,1961982,8,149,1433,20,0,2024
,35700.0,,34456,0,33,2212986,12,149,1433,20,0,2023
,35697.0,,33903,0,33,1939439,9,149,1433,20,0,2024
22204.0,35691.0,24778.0,33283,0,33,2118810,1,149,1429,20,0,2025
,35697.0,,34149,0,33,2085338,5,149,1433,20,0,2024
,35693.0,,34445,0,33,2220899,7,149,1431,20,0,2023
,35697.0,,33725,0,33,1907377,10,149,1431,20,0,2024
,35700.0,,34291,0,33,2198831,2,149,1433,20,0,2024
,35697.0,,34203,0,33,2173595,3,149,1433,20,0,2024
,35692.0,25142.0,33365,0,33,1909702,11,149,1431,20,0,2024
,33120.0,32604.0,33066,0,14,2064259,12,258,1221,18,0,2024
,33115.0,,33115,0,14,2426478,2,262,1198,18,0,2023
,33115.0,,33115,0,14,2416284,3,262,1198,18,0,2023
,33115.0,,33106,0,14,2265633,1,258,1203,18,0,2024
17847.0,33120.0,32789.0,33075,0,14,2042101,2,258,1221,18,0,2025
,33115.0,,32949,0,14,2170544,6,258,1215,18,0,2024
,33115.0,,33115,0,14,2392651,4,258,1194,18,0,2023
,33115.0,,32987,0,14,2283192,10,258,1202,18,0,2023
,33115.0,,32981,0,14,2298422,8,258,1202,18,0,2023
,33115.0,,32975,0,14,2287259,9,258,1202,18,0,2023
,33115.0,,33107,0,14,2281125,11,258,1203,18,0,2023
,33115.0,,33104,0,14,2354393,5,258,1203,18,0,2023
,33120.0,,33024,0,14,2154793,7,258,1216,18,0,2024
17776.0,33120.0,32837.0,33076,0,14,2030953,3,258,1221,18,0,2025
,33115.0,,33103,0,14,2338690,6,258,1203,18,0,2023
,33117.0,,33085,0,14,2203021,4,258,1204,18,0,2024
,33120.0,,33051,0,14,2137301,8,258,1217,18,0,2024
,33115.0,,33107,0,14,2270252,12,258,1203,18,0,2023
